v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
3,42,46,44,40,1,34,48,50,36
47,43,4,37,51,49,35,2,41,45
2,35,19,24,21,16,5,59,55,14
49,51,20,25,29,31,30,28,24,19
37,4,15,56,60,6,17,22,25,20
43,47,52,9,33,27,11,13,56,15
45,41,14,55,12,10,26,32,9,52
6,60,13,11,54,58,42,3,8,39
27,33,32,26,53,57,44,46,58,54
10,12,59,5,38,7,1,40,57,53
16,21,28,30,18,23,48,34,7,38
31,29,22,17,39,8,36,50,23,18
9,32,33,0,0,0,0,0,0,0
18,30,31,0,0,0,0,0,0,0
47,45,52,0,0,0,0,0,0,0
50,48,23,0,0,0,0,0,0,0
10,53,26,0,0,0,0,0,0,0
27,54,11,0,0,0,0,0,0,0
21,24,28,0,0,0,0,0,0,0
29,25,22,0,0,0,0,0,0,0
40,44,57,0,0,0,0,0,0,0
58,46,42,0,0,0,0,0,0,0
35,49,19,0,0,0,0,0,0,0
20,51,37,0,0,0,0,0,0,0
12,55,59,0,0,0,0,0,0,0
60,56,13,0,0,0,0,0,0,0
41,2,14,0,0,0,0,0,0,0
15,4,43,0,0,0,0,0,0,0
34,1,7,0,0,0,0,0,0,0
8,3,36,0,0,0,0,0,0,0
38,5,16,0,0,0,0,0,0,0
17,6,39,0,0,0,0,0,0,0
